date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_SM_iStatusSignals
20.09.2015,14:01:22.3221560,0.974675743,0.511455809,0.986302029,0.389630773,0.086206087,-0.000412502,0.085181752,34154
20.09.2015,14:01:22.3269386,1.025236807,0.511698925,0.986080649,0.385037413,0.08569431,-0.000412502,0.084666124,34154
20.09.2015,14:01:22.3315392,0.994119127,0.511799355,0.986246684,0.382908255,0.08529626,-0.000412502,0.084150496,34154
20.09.2015,14:01:22.3363394,1.012750696,0.511799355,0.986135994,0.382908255,0.084727619,-0.000309377,0.083737994,34154
20.09.2015,14:01:22.3413424,1.002424882,0.511835138,0.986191339,0.378103443,0.08461389,-0.000309377,0.083428617,34154
20.09.2015,14:01:22.3461272,0.9729669,0.511664641,0.986302029,0.38293227,0.084272705,-0.000309377,0.083222366,34154
20.09.2015,14:01:22.3507356,1.028196863,0.511586424,0.986080649,0.373228929,0.084102113,-0.000206251,0.082912989,34154
20.09.2015,14:01:22.3556662,0.949096598,0.511586424,0.986412719,0.373228929,0.083874656,-0.000206251,0.082809863,34154
20.09.2015,14:01:22.3605660,1.015561278,0.511403521,0.986135994,0.393657671,0.08393152,-0.000206251,0.082706738,34154
20.09.2015,14:01:22.3653366,0.964167484,0.511340374,0.986357374,0.368498507,0.084045248,-0.000309377,0.082706738,34154
20.09.2015,14:01:22.3700862,0.997512677,0.511340374,0.986191339,0.368498507,0.084158977,-0.000309377,0.082809863,34154
20.09.2015,14:01:22.3749376,0.963534545,0.511307477,0.986357374,0.391948752,0.08461389,-0.000412502,0.08311924,34154
20.09.2015,14:01:22.3797434,0.968339071,0.511428286,0.986302029,0.386478329,0.084841347,-0.000412502,0.083428617,34154
20.09.2015,14:01:22.3845264,1.002505432,0.511580891,0.986191339,0.386886003,0.085182532,-0.000412502,0.083634868,34154
20.09.2015,14:01:22.3893204,0.961111569,0.511580891,0.986357374,0.386886003,0.08529626,-0.000309377,0.083944245,34154
20.09.2015,14:01:22.3940280,1.015217622,0.511667431,0.986135994,0.382002064,0.085523717,-0.000309377,0.084047371,34154
20.09.2015,14:01:22.3989268,0.965862384,0.511740051,0.986357374,0.378792272,0.085637445,-0.000412502,0.084150496,34154
20.09.2015,14:01:22.4037600,1.027176394,0.511740051,0.986080649,0.378792272,0.08569431,-0.000412502,0.084253622,34154
20.09.2015,14:01:22.4083280,0.980518141,0.511599022,0.986302029,0.380556515,0.085864902,-0.000412502,0.084356747,34154
20.09.2015,14:01:22.4131802,1.008963613,0.511526435,0.986135994,0.375562511,0.085864902,-0.000412502,0.084459873,34154
20.09.2015,14:01:22.4181586,1.017816305,0.51133087,0.986135994,0.394274879,0.085921766,-0.000412502,0.084459873,34154
20.09.2015,14:01:22.4229304,0.998734629,0.51133087,0.986191339,0.394274879,0.085751174,-0.000412502,0.084459873,34154
20.09.2015,14:01:22.4276530,1.027584424,0.511346657,0.986080649,0.368505536,0.085864902,-0.000412502,0.084459873,34154
20.09.2015,14:01:22.4323278,0.988414797,0.511329499,0.986246684,0.390436057,0.085808038,-0.000515628,0.084459873,34154
20.09.2015,14:01:22.4372582,1.052115783,0.511385087,0.985969959,0.386569705,0.085808038,-0.000515628,0.084459873,34154
20.09.2015,14:01:22.4421164,0.97486645,0.511385087,0.986302029,0.386569705,0.085921766,-0.000515628,0.084562999,34154
20.09.2015,14:01:22.4467254,1.025322629,0.511521906,0.986080649,0.385603236,0.08597863,-0.000515628,0.084666124,34154
20.09.2015,14:01:22.4515284,0.993906468,0.511622208,0.986246684,0.371429541,0.08597863,-0.000515628,0.084666124,34154
20.09.2015,14:01:22.4565312,1.001111344,0.511622208,0.986191339,0.371429541,0.085808038,-0.000412502,0.084666124,34154
20.09.2015,14:01:22.4612802,0.993035228,0.511748247,0.986246684,0.390539519,0.085864902,-0.000412502,0.084562999,34154
20.09.2015,14:01:22.4660800,0.975614505,0.511624058,0.986302029,0.380788468,0.085808038,-0.000515628,0.084562999,34154
20.09.2015,14:01:22.4710428,1.021518866,0.511530389,0.986135994,0.37750599,0.085808038,-0.000515628,0.084562999,34154
20.09.2015,14:01:22.4758026,0.952713981,0.511530389,0.986412719,0.37750599,0.085751174,-0.000515628,0.084562999,34154
20.09.2015,14:01:22.4804760,1.012332673,0.51134983,0.986135994,0.393061868,0.08569431,-0.000515628,0.084459873,34154
20.09.2015,14:01:22.4852810,0.955829985,0.51135825,0.986412719,0.370909405,0.085523717,-0.000515628,0.084356747,34154
20.09.2015,14:01:22.4901288,1.000567607,0.51135825,0.986191339,0.370909405,0.085239396,-0.000412502,0.084150496,34154
20.09.2015,14:01:22.4949870,0.956810084,0.511184595,0.986412719,0.376293512,0.085182532,-0.000515628,0.083944245,34154
20.09.2015,14:01:22.4997124,0.976153018,0.511192807,0.986302029,0.38857293,0.084955075,-0.000515628,0.083737994,34154
20.09.2015,14:01:22.5045300,1.008699944,0.511163801,0.986191339,0.396322727,0.084955075,-0.000515628,0.083634868,34154
20.09.2015,14:01:22.5092046,0.951122676,0.511163801,0.986412719,0.396322727,0.084841347,-0.000515628,0.083634868,34154
20.09.2015,14:01:22.5140860,1.017808248,0.511419547,0.986135994,0.372996977,0.085011939,-0.000412502,0.083634868,34154
20.09.2015,14:01:22.5189030,0.966430474,0.511547021,0.986357374,0.39010783,0.084955075,-0.000309377,0.083634868,34154
20.09.2015,14:01:22.5237574,1.027464124,0.511547021,0.986080649,0.39010783,0.084898211,-0.000206251,0.083634868,34154
